frame,x,y
20,7.23410361,1.313249523
21,7.108009366,1.327252285
22,7.026521195,1.440702417
37,5.350975703,1.730536086
38,5.256932482,1.741007241
39,5.162864267,1.75148118
40,5.068771048,1.761957902
41,4.911893424,1.779425297
42,4.817733477,1.789909449
43,4.697858006,1.69964469
44,4.571546687,1.713690233
45,4.476783634,1.724227678
46,4.354270891,1.633054852
47,4.258931208,1.643642321
69,4.090147311,2.074994895
70,4.059027201,2.078468891
71,4.056801102,2.179129526
72,4.056801102,2.179129526
73,4.056801102,2.179129526
74,4.056801102,2.179129526
75,4.056801102,2.179129526
76,4.054598559,2.278725026
77,4.054598559,2.278725026
78,4.054598559,2.278725026
87,4.02178748,2.380704561
88,4.050262658,2.474787538
108,6.950568294,3.322318643
109,7.075249428,3.392168358
110,7.237292061,3.539314594
111,7.358696494,3.607047846
112,7.47889745,3.674109662
117,8.131071472,3.837092397
118,8.24513375,3.90170522
119,8.353113975,3.889300301
120,8.488042743,3.873799496
121,8.599789433,3.937900488
122,8.737172794,3.998310396
123,8.87323067,4.058137465
124,8.97952104,4.04589218
125,9.112338894,4.03059077
130,9.665025431,4.261669287
131,9.741642711,4.324822498
132,9.869126579,4.381419226
133,9.998027515,4.366488785
134,10.09804608,4.425590637
135,10.20064121,4.413696851
136,10.32884301,4.398834499
137,10.44775915,4.524467186
138,10.54433441,4.582026187
139,10.67071032,4.567338066
140,10.79096854,4.621504911
141,10.91669927,4.606879578
142,11.003297,4.731267295
143,11.12042839,4.783961956
144,11.21961105,4.772396397
145,11.33522716,4.824661921
146,11.44980856,4.876459692
147,11.54804372,4.864986294
148,11.65158493,4.981523821
149,11.7390278,5.034780889
150,11.8359286,5.023436798
151,11.94628645,5.073446469
152,12.04271953,5.062148479
153,12.15167443,5.111763063
154,12.23579161,5.163748281
155,12.30745171,5.155339964
156,12.41430567,5.204116521
157,12.53317066,5.190158968
158,12.61490689,5.241347016
159,12.74306388,5.286557367
160,12.82320862,5.336897613
161,12.91701506,5.325858305
162,12.98147262,5.436305872
163,13.08275991,5.482654274
164,13.17534872,5.471734942
165,13.27538032,5.517733036
166,13.36754192,5.506856476
167,13.4433974,5.555217553
168,13.51862465,5.603178106
169,13.59323145,5.650743091
170,13.70693805,5.637296155
171,13.82060769,5.62385359
172,13.89364419,5.671123008
173,13.98417066,5.660410116
174,14.09729579,5.6470229
177,14.09326414,5.591609253
178,14.08919992,5.535747896
179,14.08919992,5.535747896
180,14.06639478,5.538442992
181,14.08919992,5.535747896
182,14.08919992,5.535747896
183,14.08919992,5.535747896
184,14.08919992,5.535747896
185,14.08919992,5.535747896
186,14.08919992,5.535747896
187,14.08919992,5.535747896
188,14.11200357,5.533052975
189,14.13089378,5.474025542
190,14.17292172,5.411808628
191,14.19221159,5.351812644
192,14.18848752,5.294058755
193,14.18473274,5.235828707
194,14.14214083,5.299520729
195,14.1575822,5.179866182
196,14.11084816,5.185365926
197,14.0874788,5.188116074
198,14.04073539,5.193616921
199,14.07903087,5.069297271
200,14.07903087,5.069297271
201,14.07903087,5.069297271
204,14.04667563,4.951266226
205,14.04222545,4.890100018
206,14.03773749,4.828414445
207,14.03773749,4.828414445
208,14.0137687,4.8312226
209,14.07259391,4.634499418
210,14.06815988,4.570648741
257,8.402320938,3.805960782
258,8.348087744,3.812185189
259,8.32612202,3.892401175
260,8.30436033,3.971872058
261,8.261437781,4.12861966
262,8.234813977,4.131686881
263,8.219298079,4.282508407
264,8.198515133,4.358405041
265,8.17792,4.433615806
266,8.163194193,4.579015332
267,8.143032698,4.652234063
268,8.097367585,4.727782818
269,8.071683138,4.730762959
270,8.052102727,4.802669388
282,7.629619384,5.387601385
283,7.604894727,5.390491383
296,6.211267836,3.97876339
297,6.113284123,3.910570523
298,5.997890545,3.762614652
299,5.869425324,3.69553044
300,5.795892218,3.621355053
301,5.693370165,3.54966028
302,5.599393085,3.391099861
303,5.523007473,3.313884884
304,5.41700392,3.239157318
305,5.338901365,3.160372569
306,5.230849881,3.084078382
307,5.150975308,3.003675085
308,5.07027111,2.922436673
309,4.988724295,2.840350065
310,4.829169591,2.578713783
311,4.768988477,2.585481723
312,4.684099781,2.499851559
313,4.598301063,2.413303424
314,4.511577611,2.325822478
337,4.087755792,2.175669612
338,4.087755792,2.175669612
339,4.116177925,2.271833457
340,4.116177925,2.271833457
341,4.085389579,2.275279092
342,4.085389579,2.275279092
357,4.108746455,2.564478224
358,4.108746455,2.564478224
359,4.108746455,2.564478224
360,4.078438813,2.567882535
361,4.078438813,2.567882535
362,4.078438813,2.567882535
363,4.078438813,2.567882535
364,4.078438813,2.567882535
365,4.078438813,2.567882535
366,4.078438813,2.567882535
367,4.078438813,2.567882535
376,4.04812858,2.571287138
377,4.076169905,2.663395769
378,4.046016615,2.666786794
379,4.046016615,2.666786794
380,4.046016615,2.666786794
381,4.046016615,2.666786794
382,4.046016615,2.666786794
383,4.046016615,2.666786794
384,4.046016615,2.666786794
385,4.046016615,2.666786794
386,4.046016615,2.666786794
387,4.046016615,2.666786794
388,4.046016615,2.666786794
389,4.046016615,2.666786794
390,4.046016615,2.666786794
394,4.01586076,2.670178107
395,4.01586076,2.670178107
396,4.01586076,2.670178107
397,4.043926422,2.761301969
398,4.043926422,2.761301969
399,4.043926422,2.761301969
400,4.043926422,2.761301969
401,4.043926422,2.761301969
402,4.043926422,2.761301969
403,4.071701896,2.851483646
404,4.071701896,2.851483646
405,4.069502082,2.944088272
406,4.069502082,2.944088272
407,4.069502082,2.944088272
408,4.069502082,2.944088272
409,4.069502082,2.944088272
410,4.069502082,2.944088272
411,4.069502082,2.944088272
412,4.069502082,2.944088272
413,4.069502082,2.944088272
414,4.069502082,2.944088272
415,4.069502082,2.944088272
421,4.039810019,2.947439149
422,4.039810019,2.947439149
423,4.039810019,2.947439149
424,4.039810019,2.947439149
425,4.039810019,2.947439149
426,4.039810019,2.947439149
427,4.039810019,2.947439149
428,4.039810019,2.947439149
444,4.573886983,2.887166252
445,4.63317921,2.880474867
446,4.662821603,2.877129595
447,4.662821603,2.877129595
448,4.692461516,2.873784603
449,4.722098948,2.87043989
450,4.751733901,2.867095457
455,4.870248923,2.853720524
456,4.95242469,2.935751345
457,4.981889972,2.932422261
463,5.570766338,3.134087822
464,5.628708847,3.127519325
465,5.686641867,3.120951905
466,5.762938015,3.199898595
467,5.820560821,3.193359205
468,5.878174239,3.186820881
469,5.964576771,3.177015391
470,6.022166732,3.170479729
471,6.079747314,3.163945132
472,6.153635731,3.242240001
473,6.166100605,3.15414523
474,6.268174669,3.229227376
475,6.296803605,3.225974878
476,6.369213544,3.303548072
477,6.426170648,3.297070333
478,6.483118572,3.290593638
479,6.540057319,3.284117986
480,6.624617522,3.443526597
481,6.695825383,3.351321212
482,6.739270695,3.261461421
483,6.767720579,3.258225812
484,6.837371908,3.335206091
485,6.865674406,3.331983842
486,6.934488721,3.408210768
487,7.018951879,3.398584554
488,7.075249428,3.392168358
489,7.159678921,3.382545981
490,7.215954033,3.376132341
491,7.272220173,3.369719724
492,7.328477345,3.363308129
494,7.440964791,3.350488005
495,7.506542192,3.426191689
496,7.525306849,3.340875593
497,7.553416388,3.337671966
498,7.609628748,3.331265478
511,6.437883541,2.858111758
512,6.363997882,2.776267207
513,6.363997882,2.776267207
515,6.149764699,3.068451234
516,6.046033953,2.991769199
517,5.970458577,2.910982609
519,5.805923561,2.839320262
520,5.728298305,2.756885936
521,5.610070291,2.77022848
522,5.550941463,2.776901424
523,5.471552579,2.693686769
559,5.911986977,2.917596383
560,5.929694051,3.004943207
561,5.929694051,3.004943207
562,5.958782615,3.001649299
563,5.958782615,3.001649299
598,10.52133588,3.405639063
599,10.49412632,3.40875585
600,10.43970088,3.41499015
601,10.41724571,3.337862371
602,10.3898978,3.340991905
603,10.36254776,3.344121683
608,10.08893019,3.375432868
609,10.03418111,3.381698031
610,9.982128712,3.307138099
611,9.954615207,3.310283432
612,9.927099549,3.313429011
613,9.872061773,3.319720908
614,9.844539654,3.322867226
615,9.791290467,3.247637773
616,9.763628968,3.250796827
617,9.735965294,3.253956129
618,9.708299443,3.25711568
619,9.68191347,3.178009547
620,9.626302283,3.184354075
621,9.570682302,3.190699606
622,9.515534164,3.11405062
623,9.515534164,3.11405062
624,9.459836318,3.036637609
625,9.403644149,3.043035107
626,9.375744868,3.129982319
627,9.319813596,3.136356771
628,9.291232881,3.055833169
629,9.235013779,3.062233733
630,9.20690086,3.065434399
631,9.178785695,3.06863532
632,9.122548628,3.07503793
635,9.008042872,3.003433645
636,8.979773169,3.006648762
637,8.923226953,3.013079771
639,8.894950439,3.016295663
640,8.923226953,3.013079771
641,9.092838362,2.993789842
641,8.894950439,3.016295663
642,9.036310304,3.000218786
650,9.899581738,3.316574837
651,9.976744036,3.468020715
652,10.05544562,3.537990442
653,10.16036746,3.604187749
654,10.21432211,3.597995311
655,10.34917252,3.582518374
656,10.4253043,3.651244192
657,10.47400569,3.722383241
658,10.54882156,3.789791823
661,10.86085046,3.829151795
662,10.94012191,3.82001925
663,10.98570794,3.889334237
664,11.0570403,3.954983597
665,11.15375049,4.017011361
666,11.23187046,4.007986813
667,11.30138575,4.072465176
668,11.40502466,4.06048193
669,11.47340765,4.124409936
670,11.56682266,4.184777122
671,11.64379593,4.1758614
672,11.72075231,4.166947635
673,11.78704527,4.229786063
674,11.88914807,4.217949352
675,11.9543615,4.280259692
676,12.03056303,4.271418105
677,12.0948318,4.333196336
678,12.15851993,4.394416439
679,12.23400291,4.385643381
680,12.29677209,4.446345829
681,12.37189279,4.437607589
682,12.40883299,4.500700931
683,12.48360019,4.49199662
684,12.54468683,4.551673539
685,12.64389897,4.540113919
686,12.70399512,4.599304342
687,12.78813601,4.655104035
688,12.83728174,4.649368612
689,12.91098741,4.640766986
690,12.99382389,4.696126063
691,13.05158528,4.753842371
692,13.10884337,4.811055766
693,13.18154737,4.802550954
694,13.26211176,4.856474797
695,13.31035531,4.850826967
696,13.36598966,4.907115655
697,13.4211456,4.962920297
704,13.27766273,4.979743355
705,13.25374319,4.982547869
706,13.22982203,4.985352574
707,13.20589922,4.988157472
708,13.15804871,4.993767842
709,13.0947468,5.062961835
710,13.04708231,5.068554601
711,13.02324762,5.071351269
712,12.99941132,5.074148128
713,12.95173383,5.079742417
714,12.92789266,5.082539848
715,12.90404986,5.085337469
716,12.8947539,5.024638593
717,12.87080818,5.027446176
718,12.84686083,5.030253952
719,12.80866242,5.096529858
720,12.7848115,5.099328432
721,12.76095896,5.102127196
722,12.71324899,5.107725297
723,12.68939157,5.110524633
724,12.64167186,5.116123878
725,12.61780956,5.118923787
726,12.57008009,5.124524176
727,12.5593648,5.063962244
728,12.53539614,5.066772517
729,12.51142584,5.069582983
730,12.4874539,5.072393642
731,12.45072796,5.138528489
732,12.40297572,5.14413155
733,12.37909716,5.146933367
734,12.30745171,5.155339964
735,12.28356663,5.158142545
736,12.25967993,5.160945317
737,12.25967993,5.160945317
738,12.21190165,5.166551435
739,12.18801006,5.16935478
740,12.16411685,5.172158317
741,12.140222,5.174962044
742,12.12767787,5.114576609
743,12.10367966,5.117390347
744,12.07967981,5.120204278
745,12.04271953,5.062148479
746,12.0076704,5.128647226
747,11.98366398,5.131461928
748,11.9356462,5.137091909
749,11.90118394,5.203009836
750,11.87727117,5.205815668
751,11.82944073,5.211427904
752,11.80552306,5.21423431
753,11.79155339,5.153986482
754,11.79155339,5.153986482
755,11.76753216,5.156802919
756,11.71948477,5.162436372
803,11.98481572,3.078191702
804,11.98481572,3.078191702
805,11.99718325,2.995716005
806,11.99718325,2.995716005
807,11.99718325,2.995716005
808,12.02227912,2.828358452
809,12.02227912,2.828358452
810,12.03501099,2.743453081
811,12.04786789,2.657713922
812,12.04786789,2.657713922
814,12.06085166,2.57112863
815,12.10226497,2.480472875
816,12.1156487,2.392144884
817,12.1156487,2.392144884
818,12.1156487,2.392144884
819,12.1156487,2.392144884
820,12.1291665,2.302932151
821,12.14282037,2.212821316
822,12.18548125,2.118537052
823,12.18548125,2.118537052
824,12.18548125,2.118537052
825,12.19955974,2.026576068
826,12.19955974,2.026576068
827,12.19955974,2.026576068
828,12.19955974,2.026576068
829,12.21378212,1.93367516
830,12.22815061,1.839819846
831,12.24266748,1.74499534
832,12.25733504,1.649186553
833,12.25733504,1.649186553
834,12.25733504,1.649186553
835,12.27215563,1.55237808
836,12.27215563,1.55237808
841,11.99070991,1.679135269
842,11.84690379,1.882745372
843,11.77608583,1.983014071
844,11.6478625,2.08883749
845,11.54981665,2.19035651
846,11.45273466,2.29087752
847,11.36637841,2.300645353
848,11.29930769,2.39690306
849,11.21334807,2.406636888
850,11.14734964,2.501913496
851,11.09030756,2.508379917
852,10.99683953,2.605923337
853,10.94005706,2.612367359
854,10.84775676,2.708946816
855,10.79123156,2.715368573
870,9.675624735,3.581540658
871,9.567029093,3.593992221
872,9.485560357,3.603333416
873,9.404131668,3.690981806
874,9.350052561,3.697188528
875,9.242690126,3.787104554
876,9.161912373,3.796384415
877,9.05587487,3.885454952
878,8.977486099,3.970650627
879,8.926379866,4.05201436
880,8.846653063,4.061199364
881,8.766908206,4.070386448
882,8.664042856,4.157050476
883,8.588446979,4.239902204
885,8.434799519,4.331109078
886,8.360885549,4.41246042
887,8.28762549,4.493092054
888,8.209562048,4.502126129
889,8.137283081,4.582016585
890,8.059538316,4.591021668
891,7.988226351,4.670180662
892,7.884984344,4.68214944
893,7.807532997,4.691128324
